[166, 178, 184]
[165, 177, 186]
[156, 166, 178]
[153, 163, 177]
[150, 160, 175]
[146, 156, 172]
[139, 150, 168]
[133, 147, 166]
[128, 145, 164]
[119, 138, 159]
[107, 126, 149]
[100, 118, 142]
[96, 110, 135]
[94, 106, 131]
[101, 109, 132]
[108, 114, 134]
[119, 124, 142]
[129, 135, 149]
[138, 146, 155]
[142, 150, 157]
[142, 150, 157]
[142, 150, 159]
[140, 151, 159]
[135, 147, 158]
[125, 137, 150]
[116, 130, 142]
[112, 126, 135]
[113, 125, 131]
[125, 135, 137]
[136, 144, 145]
[141, 158, 164]
[137, 157, 167]
[134, 155, 167]
[138, 156, 171]
[143, 157, 173]
[152, 164, 180]
[158, 168, 185]
[159, 171, 185]
[166, 178, 191]
[166, 180, 193]
[166, 180, 193]
[159, 174, 187]
[137, 151, 166]
[133, 145, 160]
[125, 136, 151]
[126, 133, 148]
[134, 141, 154]
[144, 153, 161]
[153, 165, 171]
[155, 169, 174]
[161, 175, 181]
[160, 174, 182]
[156, 169, 179]
[153, 165, 177]
[149, 160, 174]
[146, 158, 172]
[141, 155, 170]
[135, 151, 167]
[127, 145, 163]
[120, 139, 159]
[108, 128, 150]
[100, 118, 141]
[96, 110, 135]
[95, 105, 130]
[102, 109, 132]
[109, 115, 134]
[121, 126, 142]
[132, 137, 150]
[139, 146, 154]
[141, 151, 156]
[147, 156, 160]
[149, 158, 163]
[142, 154, 160]
[136, 148, 157]
[126, 140, 150]
[115, 131, 139]
[115, 130, 135]
[120, 132, 135]
[127, 139, 138]
[138, 148, 146]
[111, 130, 135]
[106, 125, 134]
[102, 122, 133]
[103, 120, 133]
[106, 118, 130]
[111, 120, 132]
[129, 136, 146]
[145, 155, 165]
[151, 162, 173]
[157, 169, 182]
[159, 172, 185]
[160, 173, 184]
[150, 161, 173]
[141, 150, 161]
[138, 146, 158]
[139, 146, 155]
[142, 150, 158]
[152, 163, 167]
[152, 166, 169]
[154, 170, 173]
[158, 174, 179]
[157, 172, 179]
[153, 166, 176]
[149, 161, 174]
[149, 160, 173]
[147, 160, 173]
[143, 158, 172]
[135, 152, 167]
[126, 146, 163]
[120, 140, 159]
[108, 129, 150]
[100, 118, 141]
[96, 111, 135]
[96, 107, 131]
[102, 110, 131]
[111, 117, 136]
[122, 129, 144]
[132, 138, 150]
[137, 146, 152]
[141, 151, 154]
[148, 158, 160]
[148, 159, 161]
[143, 156, 159]
[138, 153, 158]
[130, 146, 151]
[121, 137, 142]
[120, 135, 138]
[127, 140, 138]
[134, 147, 143]
[139, 151, 147]
[106, 122, 121]
[98, 114, 117]
[88, 102, 108]
[88, 98, 105]
[91, 98, 104]
[95, 100, 104]
[100, 104, 108]
[110, 116, 122]
[122, 129, 137]
[134, 144, 154]
[144, 154, 166]
[150, 160, 170]
[159, 168, 178]
[159, 167, 176]
[156, 163, 171]
[152, 159, 165]
[157, 166, 170]
[158, 169, 170]
[155, 169, 170]
[154, 171, 172]
[153, 170, 174]
[150, 167, 173]
[149, 164, 173]
[146, 160, 172]
[147, 160, 172]
[146, 160, 173]
[142, 159, 171]
[134, 153, 167]
[127, 149, 164]
[121, 142, 160]
[110, 131, 151]
[101, 120, 142]
[97, 113, 136]
[99, 110, 132]
[105, 114, 134]
[113, 120, 137]
[124, 131, 145]
[132, 140, 150]
[137, 146, 152]
[142, 152, 155]
[146, 158, 158]
[146, 159, 159]
[145, 159, 160]
[143, 159, 162]
[137, 152, 156]
[137, 152, 154]
[138, 151, 152]
[139, 151, 149]
[142, 156, 152]
[146, 160, 157]
[121, 129, 121]
[105, 115, 111]
[95, 102, 100]
[91, 95, 92]
[89, 89, 87]
[89, 88, 88]
[95, 98, 94]
[97, 100, 98]
[104, 109, 108]
[112, 120, 123]
[128, 136, 143]
[142, 150, 159]
[153, 160, 169]
[162, 168, 174]
[163, 168, 174]
[164, 170, 172]
[161, 170, 171]
[159, 170, 170]
[157, 172, 171]
[154, 170, 171]
[147, 164, 168]
[145, 162, 169]
[146, 161, 170]
[145, 159, 171]
[144, 158, 171]
[143, 159, 171]
[140, 158, 170]
[133, 154, 166]
[127, 150, 164]
[119, 143, 160]
[109, 131, 151]
[101, 120, 143]
[98, 113, 136]
[102, 113, 134]
[108, 117, 136]
[115, 123, 139]
[125, 133, 146]
[133, 141, 150]
[137, 146, 152]
[141, 151, 153]
[145, 157, 157]
[147, 160, 159]
[148, 162, 162]
[147, 162, 163]
[144, 158, 160]
[143, 156, 159]
[142, 154, 156]
[141, 154, 154]
[146, 160, 160]
[148, 162, 162]
[126, 131, 115]
[109, 115, 103]
[102, 106, 95]
[101, 103, 90]
[104, 100, 86]
[114, 110, 96]
[114, 113, 99]
[117, 118, 106]
[106, 109, 101]
[104, 108, 106]
[105, 111, 112]
[116, 123, 128]
[126, 133, 139]
[144, 149, 154]
[161, 165, 169]
[165, 170, 171]
[169, 176, 174]
[168, 178, 176]
[160, 174, 173]
[154, 170, 171]
[148, 165, 170]
[145, 161, 169]
[144, 159, 170]
[144, 158, 170]
[142, 158, 170]
[140, 158, 169]
[138, 158, 169]
[132, 154, 167]
[125, 149, 163]
[116, 141, 157]
[105, 127, 147]
[101, 119, 140]
[98, 113, 135]
[103, 114, 134]
[109, 118, 136]
[117, 125, 140]
[127, 134, 146]
[133, 141, 150]
[137, 146, 152]
[140, 150, 154]
[143, 155, 155]
[147, 160, 160]
[148, 162, 161]
[146, 161, 162]
[147, 160, 163]
